2024-01-21 05:33:24,743 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:33:38,224 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:33:38,227 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:33:38,228 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:34:05,496 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:34:05,535 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:34:05,535 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:34:22,133 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:34:22,163 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:34:22,164 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:34:31,425 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:34:31,429 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:34:31,429 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:34:44,818 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:34:44,855 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:34:44,855 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:35:15,450 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:35:15,454 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:35:15,454 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:36:48,087 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:36:48,089 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:36:48,089 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
2024-01-21 05:36:52,104 INFO    MainThread:16325 [wandb_init.py:_resume_backend():442] resuming backend
2024-01-21 05:36:52,109 INFO    MainThread:16325 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-21 05:36:52,109 INFO    MainThread:16325 [wandb_init.py:_pause_backend():437] pausing backend
